,Company,Memory_Structure_Categories,Gpu_Type,Gpu_Company,OpSys,Cpu_Company,Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Price_dollars
30,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.9,16 MB,512MB,4.14,3002$
31,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,512MB,4.14,2749$
32,MSI,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,128MB,4.14,2419$
33,Asus,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,128MB,4,2090$
34,Asus,HDD,GeForce GTX 965M,Nvidia,No OS,Intel,17.3,2.6,16 MB,1000MB,4,1098$
35,Asus,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.7,32 MB,512MB,3.8,3079$
36,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,3.78,2749$
37,MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,256MB,3.78,2639$
38,HP,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,12 MB,1000MB,3.78,1869$
39,MSI,Hybrid,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,256MB,3.78,1700$
40,HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,3.78,1648$
41,HP,HDD,Radeon RX 580,AMD,Windows 10,Intel,17.3,2.8,12 MB,1000MB,3.74,1924$
42,Asus,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,16 MB,256MB,3.6,3299$
43,Asus,SSD,GeForce GTX 980 ,Nvidia,Windows 10,Intel,17.3,2.7,64 MB,1000MB,3.58,4373$
44,Asus,SSD,GeForce GTX 980M,Nvidia,Windows 10,Intel,17.3,2.7,32 MB,256MB,3.58,1407$
45,Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,17.3,2.6,8 MB,128MB,3.52,1444$
46,Razer,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32 MB,1000MB,3.49,6709$
47,Razer,SSD,GeForce GTX 1080,Nvidia,Windows 10,Intel,17.3,2.9,32 MB,512MB,3.49,6049$
48,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.9,16 MB,256MB,3.49,3095$
49,Dell,SSD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.9,16 MB,256MB,3.42,3173$
50,Lenovo,SSD,Quadro M620M,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,256MB,3.4,3299$
51,HP,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,12 MB,256MB,3.35,2199$
52,HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,3.35,1517$
53,HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,3.35,1310$
54,HP,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.3,8 MB,128MB,3.35,1242$
55,Lenovo,SSD,GeForce GTX 960,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,512MB,3.31,1436$
56,Lenovo,Hybrid,GeForce GTX 960,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,128MB,3.31,1316$
57,Acer,HDD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2,8 MB,1000MB,3.3,692$
58,Acer,HDD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2,4 MB,1000MB,3.3,658$
59,Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,16 MB,256MB,3.25,2419$
60,Dell,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,3.21,3052$
61,Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.5,16 MB,128MB,3.21,2256$
62,Dell,Hybrid,GeForce GTX 970M,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,256MB,3.21,1462$
63,Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,512MB,3.2,1924$
64,Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3.2,8 MB,256MB,3.2,1865$
65,Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,16 MB,256MB,3.2,1704$
66,Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,3.2,1649$
67,Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,256MB,3.2,1539$
68,Lenovo,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,1000MB,3.2,1429$
69,Asus,Hybrid,Radeon RX 580,AMD,Windows 10,AMD,17.3,3,8 MB,256MB,3.2,1429$
70,HP,SSD,Quadro M2200,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,256MB,3.14,2271$
71,HP,HDD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,500MB,3.14,2099$
72,HP,HDD,Quadro M1200,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,500MB,3.14,2047$
73,HP,SSD,Quadro M2000M,Nvidia,Windows 7,Intel,17.3,2.9,16 MB,256MB,3,4828$
74,HP,SSD,Quadro M3000M,Nvidia,Windows 7,Intel,17.3,2.6,8 MB,256MB,3,4344$
75,HP,HDD,FirePro W6150M,AMD,Windows 7,Intel,17.3,2.6,8 MB,1000MB,3,3189$
76,Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,3,1750$
77,Asus,Hybrid,GeForce GTX1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,3,1654$
78,Asus,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,1000MB,3,1306$
79,Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,3,1285$
80,Asus,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,1000MB,3,1143$
81,Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,15.6,1.8,8 MB,256MB,3,1046$
82,Asus,HDD,GeForce GTX 1050 Ti,Nvidia,Linux,Intel,17.3,2.8,12 MB,1000MB,3,1044$
83,Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,128MB,3,1032$
84,Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.6,8 MB,256MB,3,939$
85,Acer,SSD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.6,4 MB,256MB,3,886$
86,Acer,SSD,GeForce MX130,Nvidia,Windows 10,Intel,17.3,2.7,4 MB,256MB,3,772$
87,Lenovo,HDD,Radeon R5 M330,AMD,Windows 10,Intel,17.3,2.3,8 MB,1000MB,3,725$
88,Acer,HDD,GeForce MX130,Nvidia,Windows 10,Intel,17.3,2.7,4 MB,1000MB,3,721$
89,Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.99,1924$
90,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.94,2495$
91,MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,256MB,2.94,2001$
92,Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,2661$
93,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,512MB,2.9,2657$
94,Asus,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,2334$
95,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,2232$
96,Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,2144$
97,Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,1682$
98,MSI,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,17.3,2.6,8 MB,128MB,2.9,1662$
99,Asus,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.9,1548$
100,HP,HDD,GeForce MX150,Nvidia,Windows 10,Intel,17.3,1.8,16 MB,1000MB,2.9,1165$
101,Dell,HDD,Radeon R7 M445,AMD,Linux,Intel,17.3,2.7,8 MB,1000MB,2.83,952$
102,Dell,Hybrid,Quadro M1200,Nvidia,Windows 10,Intel,15.6,3,16 MB,256MB,2.8,3361$
103,Lenovo,SSD,HD Graphics 520,Intel,Windows 10,Intel,14,2.6,16 MB,512MB,2.8,2684$
104,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.8,2474$
105,MSI,Hybrid,GeForce GTX 1070,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.8,2309$
106,MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.8,2079$
107,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,16 MB,256MB,2.8,1536$
108,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,16 MB,256MB,2.8,1429$
109,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,8 MB,128MB,2.8,1256$
110,Dell,Hybrid,Radeon 530,AMD,Linux,Intel,17.3,1.8,8 MB,128MB,2.8,1209$
111,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.6,8 MB,128MB,2.8,1194$
112,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.8,8 MB,128MB,2.8,1194$
113,Dell,Hybrid,Radeon 530,AMD,Windows 10,Intel,17.3,1.6,8 MB,128MB,2.8,1077$
114,Lenovo,Hybrid,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,6 MB,128MB,2.8,1044$
115,Dell,Hybrid,Radeon 530,AMD,Linux,Intel,17.3,1.6,8 MB,128MB,2.8,978$
116,Lenovo,Hybrid,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,6 MB,128MB,2.8,945$
117,Lenovo,HDD,GeForce MX150,Nvidia,No OS,Intel,17.3,1.8,8 MB,2000MB,2.8,934$
118,Lenovo,Hybrid,GeForce GTX 940MX,Nvidia,Windows 10,Intel,17.3,2.5,6 MB,128MB,2.8,791$
119,Lenovo,SSD,GeForce MX150,Nvidia,No OS,Intel,17.3,1.6,8 MB,256MB,2.8,768$
120,Lenovo,HDD,GeForce GTX 940M,Nvidia,Windows 10,Intel,17.3,2.5,6 MB,1000MB,2.8,714$
121,Lenovo,HDD,GeForce GTX 940MX,Nvidia,No OS,Intel,17.3,2.5,8 MB,1000MB,2.8,648$
122,Lenovo,HDD,HD Graphics 620,Intel,No OS,Intel,17.3,2.5,8 MB,1000MB,2.8,593$
123,Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.6,4 MB,1000MB,2.8,583$
124,Lenovo,HDD,HD Graphics 520,Intel,No OS,Intel,17.3,2,4 MB,500MB,2.8,582$
125,Lenovo,HDD,Radeon R4,AMD,Windows 10,AMD,17.3,2.5,8 MB,1000MB,2.8,571$
126,Lenovo,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,4 MB,1000MB,2.8,538$
127,Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.1,4 MB,1000MB,2.8,517$
128,Asus,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,1.1,4 MB,1000MB,2.8,513$
129,Lenovo,HDD,Radeon R3,AMD,Windows 10,AMD,17.3,2.2,4 MB,500MB,2.8,417$
130,Lenovo,HDD,GeForce 920MX,Nvidia,Windows 10,Intel,17.3,2.5,4 MB,1000MB,2.79,648$
131,Dell,SSD,GeForce 940MX,Nvidia,Windows 10,Intel,17.3,2.7,16 MB,512MB,2.77,1979$
132,Dell,SSD,GeForce 150MX,Nvidia,Windows 10,Intel,17.3,1.8,16 MB,512MB,2.77,1704$
133,Dell,HDD,GeForce 150MX,Nvidia,Windows 10,Intel,17.3,1.6,12 MB,1000MB,2.77,1099$
134,HP,Hybrid,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.3,8 MB,128MB,2.75,1539$
135,Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.73,2255$
136,Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.6,16 MB,512MB,2.73,1979$
137,Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,128MB,2.73,1947$
138,Dell,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,128MB,2.72,1209$
139,HP,HDD,Radeon 520,AMD,Windows 10,Intel,17.3,2.5,6 MB,2000MB,2.71,769$
140,HP,HDD,Radeon 530,AMD,Windows 10,AMD,17.3,2.5,6 MB,2000MB,2.71,721$
141,HP,HDD,Radeon 530,AMD,Windows 10,AMD,17.3,2.5,4 MB,500MB,2.71,483$
142,MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.7,1759$
143,Asus,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,256MB,2.7,1759$
144,MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.7,1758$
145,MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,16 MB,256MB,2.7,1642$
146,MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,2.7,1635$
147,MSI,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,2.7,1550$
148,MSI,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,256MB,2.7,1484$
149,MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,2.7,1483$
150,Acer,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.7,1386$
151,MSI,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,256MB,2.7,1319$
152,MSI,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.8,8 MB,128MB,2.7,1311$
153,MSI,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,128MB,2.7,1205$
154,Asus,Hybrid,GeForce GTX 950M,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,256MB,2.69,980$
155,Asus,Hybrid,GeForce GTX 950M,Nvidia,No OS,Intel,17.3,2.7,8 MB,128MB,2.69,978$
156,Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,2.9,8 MB,256MB,2.67,2299$
157,Lenovo,SSD,Quadro M1200,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,512MB,2.67,2118$
158,Dell,SSD,UHD Graphics 620,Intel,Windows 10,Intel,15.6,1.6,8 MB,256MB,2.67,879$
159,Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,512MB,2.65,2030$
160,Dell,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.65,1649$
161,Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,128MB,2.65,1484$
162,Dell,SSD,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,256MB,2.65,1315$
163,Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,1000MB,2.65,1099$
164,Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,1000MB,2.65,1044$
165,HP,HDD,Radeon R7 M440,AMD,Windows 10,AMD,17.3,2.4,6 MB,2000MB,2.65,626$
166,HP,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,8 MB,1000MB,2.65,599$
167,Asus,HDD,HD Graphics 405,Intel,Windows 10,Intel,15.6,1.6,4 MB,1000MB,2.65,340$
168,HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.7,8 MB,1000MB,2.63,1408$
169,HP,SSD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.7,8 MB,256MB,2.63,1320$
170,HP,SSD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,256MB,2.63,1188$
171,HP,HDD,GeForce 930MX,Nvidia,Windows 10,Intel,17.3,2.5,8 MB,1000MB,2.63,1001$
172,HP,HDD,GeForce GTX 1060,Nvidia,Windows 10,Intel,17.3,2.8,12 MB,1000MB,2.62,1979$
173,Dell,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,512MB,2.62,1847$
174,Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.62,1648$
175,Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.62,1627$
176,HP,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,12 MB,128MB,2.62,1374$
177,Dell,HDD,GeForce GTX 1050Ti,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,1000MB,2.62,1319$
178,Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.62,1275$
179,Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,1000MB,2.62,1209$
180,Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,256MB,2.62,1084$
181,Dell,HDD,GeForce GTX 1050Ti,Nvidia,Linux,Intel,15.6,2.8,8 MB,1000MB,2.62,1022$
182,HP,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,1000MB,2.62,989$
183,Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,1000MB,2.62,989$
184,HP,SSD,Quadro M2200,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.6,2661$
185,HP,SSD,Quadro M1200,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,256MB,2.6,1912$
186,MSI,SSD,GeForce GTX 965M,Nvidia,Windows 10,Intel,17.3,2.6,8 MB,256MB,2.6,1759$
187,Dell,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,128MB,2.6,1484$
188,Lenovo,Hybrid,GeForce GTX 960<U+039C>,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,128MB,2.6,1399$
189,Lenovo,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,128MB,2.6,1132$
190,Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,1000MB,2.6,989$
191,Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,1000MB,2.6,989$
192,Lenovo,HDD,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,1000MB,2.6,989$
193,Lenovo,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.3,8 MB,128MB,2.6,868$
194,HP,HDD,Radeon R5,AMD,Windows 10,AMD,17,3,8 MB,1000MB,2.6,573$
195,Lenovo,SSD,Radeon R5,AMD,Windows 10,AMD,17.3,2.2,4 MB,128MB,2.6,538$
196,Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,8 MB,256MB,2.591,1000$
197,HP,SSD,Quadro M1000M,Nvidia,Windows 7,Intel,15.6,2.6,8 MB,256MB,2.59,2452$
198,HP,SSD,Quadro M1000M,Nvidia,Windows 7,Intel,15.6,2.6,8 MB,256MB,2.59,1717$
199,Asus,Hybrid,GeForce GTX 960M,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,128MB,2.59,1473$
200,Dell,HDD,GeForce GTX 960<U+039C>,Nvidia,Windows 10,Intel,15.6,2.6,16 MB,1000MB,2.59,967$
201,Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,512MB,2.56,1374$
202,Dell,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.56,1167$
203,Dell,SSD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,256MB,2.56,967$
204,Dell,HDD,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.5,8 MB,1000MB,2.56,901$
205,HP,HDD,HD Graphics 520,Intel,Windows 10,Intel,17.3,2,8 MB,1000MB,2.54,538$
206,Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,3.1,32 MB,1000MB,2.5,5389$
207,Lenovo,SSD,Quadro M520M,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,1000MB,2.5,3629$
208,Lenovo,SSD,Quadro M2200M,Nvidia,Windows 10,Intel,15.6,2.9,16 MB,512MB,2.5,2694$
209,Lenovo,SSD,Quadro M2000M,Nvidia,Windows 7,Intel,15.6,2.7,16 MB,512MB,2.5,2607$
210,Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.5,1979$
211,Samsung,Hybrid,GeForce GTX 1050,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,128MB,2.5,1869$
212,Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.5,1760$
213,Acer,SSD,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.5,16 MB,256MB,2.5,1429$
214,HP,SSD,GeForce 930MX ,Nvidia,Windows 10,Intel,17.3,1.8,16 MB,512MB,2.5,1398$
215,Asus,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.5,1392$
216,Lenovo,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.5,1374$
217,Lenovo,Hybrid,GeForce GTX 1060,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.5,1308$
218,Lenovo,Hybrid,GeForce GTX 1050 Ti,Nvidia,Windows 10,Intel,15.6,2.8,16 MB,256MB,2.5,1297$
219,Asus,HDD,GeForce GTX 1050 Ti,Nvidia,No OS,Intel,15.6,2.8,8 MB,1000MB,2.5,1286$
220,Lenovo,Hybrid,GeForce GTX 1050M,Nvidia,Windows 10,Intel,15.6,2.8,8 MB,128MB,2.5,1220$
